Symbol,Company Name,My Rating,Volatility Rankings,Quantitative Grade,Fundamental Grade,Sales Growth,Operating Margin Growth,Earnings Growth,Earnings Revisions,Earnings Surprises,Earnings Momentum,Cash Flow,Return on Equity,Market Cap ($B),Current P/E,Dividend Yield (%),52-Week High ($),52-Week Low ($),Last Year EPS ($),Last Qtr. Surprise (%),Next Qtr. Sales (M),Next Qtr. Sales Growth (%),Next Qtr. EPS ($),Next Qtr. Earnings Growth (%),Est. Long-Term Growth (%),Company Profile,Industry,No. of Companies in Industry,Market Cap Rank,Estimated Sales Rank,Earnings Rank,Long-Term Growth Rank
A,"Agilent Technologies, Inc.",D,Conservative,D,C,C,C,C,C,C,C,C,C,20,29.9,1,75,59,0.59,2.3,1,7.6,0.63,6.31,11.9,"Designs, manufactures and markets measurement and monitoring instruments",Biotechnology,336,11,104,16,30
AAL,"American Airlines Group, Inc.",F,Conservative,F,D,C,D,D,F,C,F,B,F,19,10.6,1,58,41,1.92,2.3,11,5.9,1.69,-11.82,12.9,Provides air transportation services for passengers and cargo,Airlines,19,5,10,8,15
AAXN,Axon Enterprise Inc,A,Moderate,A,A,B,A,A,A,A,A,B,C,3,676.5,0,68,21,0.04,500,95.8,20.3,0.05,25,170.4,Develops and manufactures advanced conducted electrical weapons and software,Aerospace & Defense,55,23,4,13,4
ABB,ABB Ltd. Sponsored ADR,F,Conservative,F,C,C,D,D,C,C,B,C,B,47,21.5,0,29,22,0.3,7.3,9,9,0.34,12.96,11.4,Operates as a power and automation technology company,Electrical Products,47,1,19,13,18
ABC,AmerisourceBergen Corporation,D,Conservative,F,C,C,D,D,D,C,C,C,A,20,20.2,2,105,73,1.43,7.7,42,10.8,1.47,2.75,10.3,Distributes pharmaceutical products,Medical Distributors,8,2,2,4,3
ABEV,Ambev SA Sponsored ADR,D,Conservative,D,C,C,D,D,F,F,A,D,B,75,32.8,2,7,5,0.04,-19.2,3,-3.3,0.04,8.82,10.8,Produces and distributes beers and other beverages,Beverages: Alcoholic,18,3,13,7,11
ABMD,"ABIOMED, Inc.",A,Conservative,A,B,A,A,A,B,B,D,C,B,18,215.8,0,446,140,0.82,22.2,173.8,31.2,0.82,0.24,39.6,"Manufactures cardiac support, recovery and replacement devices",Medical Specialties,169,14,28,44,16
ABX,Barrick Gold Corporation,F,Conservative,F,D,F,F,F,D,B,D,D,B,15,10.6,1,18,11,0.22,11.4,1,-9.8,0.15,-30.09,-2.2,Mines and explores for gold,Precious Metals,59,3,29,21,35
ACM,AECOM,D,Conservative,D,D,C,F,F,C,C,D,C,C,5,13.2,0,40,30,0.78,1.5,4,8.1,0.68,-13.41,6.1,"Provide planning, consulting, architectural and engineering design, and program and construction management services",Engineering & Construction,26,3,8,15,22
ADBE,Adobe Systems Incorporated,A,Conservative,A,B,B,B,A,B,C,F,C,A,120,71.9,0,258,138,1.1,7.6,2,22.2,1.68,53,30.4,Develops software solutions for web and print publishing,Packaged Software,87,4,20,8,23
ADNT,Adient plc,F,Conservative,F,D,C,F,F,F,D,C,F,C,4,9,2,86,48,2.52,-2.9,4,8,1.78,-29.5,6.2,Manufactures automotive seating systems,Auto Parts: OEM,28,8,16,21,22
ADS,Alliance Data Systems Corporation,D,Conservative,F,C,D,C,C,C,C,F,C,A,13,16.8,1,276,195,3.84,4.9,1,6.5,4.66,21.42,15,"Provides transaction, credit and marketing, and market research services",Data Processing Services,37,10,21,10,18
AEG,AEGON N.V. ADR,B,Conservative,B,B,B,A,A,D,C,D,A,B,12,4.7,4,7,5,0.22,0,0,0,0.19,-14.78,-9.1,"Manages pension funds and provides life, accident, and health insurance",Multi-Line Insurance,16,7,0,9,14
AEL,American Equity Investment Life Holding Company,B,Conservative,B,B,D,A,A,C,C,D,A,B,3,18.6,0,37,25,0.71,0.9,573.6,-29.6,0.85,19.75,19.5,Develops and markets fixed index and fixed rate annuity products,Life/Health Insurance,24,13,16,5,5
AEO,"American Eagle Outfitters, Inc.",A,Conservative,A,B,C,B,B,B,C,A,C,A,4,21.4,3,25,11,0.19,5.3,927.1,9.8,0.29,52.07,12.2,"Operates as a specialty retailer that provides clothing, accessories, and personal care products under the American Eagle Outfitters and Aerie brands.",Apparel/Footwear Retail,37,14,10,6,18
AEP,"American Electric Power Company, Inc.",D,Conservative,D,D,D,D,D,C,D,F,F,B,33,17.4,4,78,63,0.75,-2.3,3,7.2,0.84,12.28,5.6,Generates and transmits electric power,Electric Utilities,69,7,12,11,31
AGN,Allergan plc,F,Conservative,F,C,D,C,C,B,B,A,D,D,58,0,2,256,144,4.02,11.4,3,-2.7,4.1,1.96,4.4,Manufactures pharmaceutical products,Pharmaceuticals: Generic,15,1,7,5,5
AIG,"American International Group, Inc.",F,Conservative,F,D,F,D,D,F,F,D,A,D,48,0,2,66,52,1.53,-17.7,11,0,1.24,-19.02,45.2,"Operates as a global insurance company, which provides property casualty insurance, life insurance, retirement products, mortgage insurance and other financial services",Multi-Line Insurance,16,4,0,10,4
AIT,"Applied Industrial Technologies, Inc.",B,Conservative,B,B,B,C,C,B,B,F,B,A,2,20,2,76,54,1.34,8.1,882.9,29.6,1,-25.52,17.7,"Distributes bearings, power transmission components and other industrial products",Wholesale Distributors,43,11,3,22,19
ALGN,"Align Technology, Inc.",A,Moderate,A,B,A,C,B,B,B,D,C,A,28,124.4,0,370,149,0.85,20,470.8,32.1,1.08,27.07,25,"Designs, manufactures and markets the invisalign system for treating malocclusion",Medical Specialties,169,11,26,11,24
ALK,"Alaska Air Group, Inc.",F,Conservative,F,D,D,F,F,F,B,F,F,A,7,7.6,2,95,58,2.51,19,2,4.5,1.65,-34.17,10.8,"Operates as a holding company, which through its subsidiaries, provides air transportation services",Airlines,19,6,12,12,17
